产品ID	产品名称	旧URL	新URL
536027438739997	Jordan 12 Retro French Blue CT8013-114	/Pkgod-Jordan-12-Retro-French-Blue-CT8013-114.html	/Jordan-12-Retro-French-Blue-CT8013-114.html
536027435411999	Jordan 12 Retro Melo CT8013-112	/Pkgod-Jordan-12-Retro-Melo-CT8013-112.html	/Jordan-12-Retro-Melo-CT8013-112.html
536027429707795	AMIRI MMY Bones x Maison MIHARA YASUHIRO Alabaster	/-Pkgod-AMIRI-MMY-Bones-x-Maison-MIHARA-YASUHIRO-Alabaster.html	/AMIRI-MMY-Bones-x-Maison-MIHARA-YASUHIRO-Alabaster.html
536027428983317	Air Jordan 4 Retro Forget Me Not  HV0823-100	/-Pkgod-Air-Jordan-4-Retro-Forget-Me-Not-HV0823-100.html	/Air-Jordan-4-Retro-Forget-Me-Not-HV0823-100.html
536027409440022	Jordan 12 Retro Gym Red 130690-600	/Pkgod-Jordan-12-Retro-Gym-Red-130690-600.html	/Jordan-12-Retro-Gym-Red-130690-600.html
